stock_name,stock_code,decision,current_price,avg_price,pnl_pct,price_source,checked_at,ai_status,ai_sentiment,ai_confidence,ai_issue_summary,ai_positive_points,ai_risk_points,ai_price_context,ai_action_guide,ai_three_line_summary,ai_caution,ai_error,news_title_1,news_link_1,news_desc_1,news_title_2,news_link_2,news_desc_2,news_title_3,news_link_3,news_desc_3,news_title_4,news_link_4,news_desc_4,news_title_5,news_link_5,news_desc_5
금호타이어,073240,HOLD,4655.0,4865.0,-4.32,naver_finance,2026-06-10 02:58:42 KST,fallback_rule,중립,낮음,"금호타이어 관련 뉴스 5건을 기준으로 점검했습니다. Gemini API가 없거나 호출에 실패해 규칙 기반 요약으로 표시합니다. 주요 기사: 통합특별시장 후보 릴레이 인터뷰: ③ 진보당 이종욱 ""민주당 견제 가능... / 금호타이어 주가, 5월 19일 4,840원 2.42% 하락 마감",AI 해석 실패로 긍정 포인트는 기사 제목과 기존 리포트를 함께 확인해야 합니다.,AI 해석 실패 상태이므로 손절가와 현재가 매칭 상태를 우선 확인하세요.,현재 손익률은 -4.32이고 현재 판단은 HOLD입니다.,"자동 해석이 불완전하므로 신규 매수/추가매수보다 보유 기준, 목표가, 손절가를 먼저 확인하세요.","1. AI 브리핑은 fallback 상태입니다.
2. 뉴스 링크와 현재가를 직접 확인하세요.
3. 손절가 아래 물타기는 피하는 기준이 좋습니다.",투자 판단 보조용이며 매수·매도 확정 지시가 아닙니다.,"RuntimeError(""all Gemini models failed: <HTTPError 429: 'Too Many Requests'>"")","통합특별시장 후보 릴레이 인터뷰: ③ 진보당 이종욱 ""민주당 견제 가능...",https://www.namdonews.com/news/articleView.html?idxno=911736,요즘 많은 분이 주식을 하십니다. 투자를 할 때 가장 중요한 원칙은 '성장 가능성'입니다. 미래가 없거나 곧... 광주지역본부장 -現 금호타이어 광주공장 정상화 시민대책위 공동대표 -現 진보당 광주광역시당 공동위원장...,"금호타이어 주가, 5월 19일 4,840원 2.42% 하락 마감",https://www.joongangenews.com/news/articleView.html?idxno=520403,"이는 업종 평균 대비 금호타이어의 이익 가치가 상대적으로 저평가되어 있음을 나타낸다. 외국인 투자자들의 움직임을 살펴보면, 상장주식수 대비 외국인 보유 주식수의 비율을 나타내는 외국인 소진율은 9....",[더벨]주요 공시(16:00~19:00),https://www.thebell.co.kr/free/content/ArticleView.asp?key=202605141844473120106163,"금호타이어, 유상증자 결정 금호타이어는 100% 지분을 보유한 종속회사 Kumho Tire Poland Sp. z o.o.가 약... 해당 종속회사는 폴란드 소재 타이어 제조·판매 법인. 새로 발행되는 주식은 보통주 289만1217주. 1주당...","금호타이어 주가, 5월 15일 5,060원 1.94% 하락 마감",https://www.joongangenews.com/news/articleView.html?idxno=519698,"외국인 투자자들의 금호타이어 주식 소진율은 10.10%로 파악되었다. 한편, 동일 업종의 등락률은 -2.05%를 기록하여 금호타이어의 하락폭과 유사한 흐름을 보였다. 지난 거래일 금호타이어는 5,160원으로 장을...","금호타이어, 매출 증대 위해 해외 공략…獨 더 타이어 쾰른 참가",https://www.koreareport.co.kr/news/articleView.html?idxno=50437,"두마리 토끼를 잡고, 세계적인 타이어 기업으로 도약하겠다""고 말했다. 한편, 금호타이어의 최대 주주가 중국 더블스타의 자회사인 싱웨이코리아 주식회사로, 금호타이어 지분 45%(1억2926만7129주)를 보유하고 있다."
대창솔루션,096350,STOP_WATCH,1989.0,2800.0,-28.96,naver_finance,2026-06-10 02:58:43 KST,fallback_rule,중립,낮음,대창솔루션 관련 뉴스 5건을 기준으로 점검했습니다. Gemini API가 없거나 호출에 실패해 규칙 기반 요약으로 표시합니다. 주요 기사: 두산에너빌리티·우리기술·오르비텍 동반 강세…코스피·코스닥 매수 ... / 두산에너빌리티·비에이치아이·우리기술 흔들렸지만…원전주 조정 속에...,AI 해석 실패로 긍정 포인트는 기사 제목과 기존 리포트를 함께 확인해야 합니다.,AI 해석 실패 상태이므로 손절가와 현재가 매칭 상태를 우선 확인하세요.,현재 손익률은 -28.96이고 현재 판단은 STOP_WATCH입니다.,"자동 해석이 불완전하므로 신규 매수/추가매수보다 보유 기준, 목표가, 손절가를 먼저 확인하세요.","1. AI 브리핑은 fallback 상태입니다.
2. 뉴스 링크와 현재가를 직접 확인하세요.
3. 손절가 아래 물타기는 피하는 기준이 좋습니다.",투자 판단 보조용이며 매수·매도 확정 지시가 아닙니다.,"RuntimeError(""all Gemini models failed: <HTTPError 429: 'Too Many Requests'>"")",두산에너빌리티·우리기술·오르비텍 동반 강세…코스피·코스닥 매수 ...,https://www.cbci.co.kr/news/articleView.html?idxno=580542,대창솔루션 역시 1.42% 오른 1925원에 거래되며 상승 흐름에 동참했다. 시장에서는 원전 관련 기업들이... 주식 및 금융시장 투자는 원금 손실의 위험이 있으며 투자에 따른 모든 책임은 투자자 본인에게 있습니다. 투자...,두산에너빌리티·비에이치아이·우리기술 흔들렸지만…원전주 조정 속에...,https://www.cbci.co.kr/news/articleView.html?idxno=579720,"이밖에 한전기술은 12만5200원으로 3.77%, 일진파워는 3.37%, 우진엔텍은 3.36%, 대창솔루션은 3.49% 각각... 주식 투자에 따른 손실은 투자자 본인의 책임이며, 투자 결정 전 관련 공시와 기업 실적, 시장 상황을 충분히...","두산에너빌리티·우리기술·대창솔루션 흔들…원전주, 미국·이란 휴전...",https://www.cbci.co.kr/news/articleView.html?idxno=577428,"우리기술 역시 1만5820원 수준까지 내려오며 6%대 약세를 기록했고, 비에이치아이와 대창솔루션도 동반... 주식 및 원전 관련 테마주는 시장 상황과 국제 정세에 따라 높은 변동성을 나타낼 수 있으며, 투자에 따른 손실은...",5월 6일 주식시장 주요공시,https://www.catchnews.kr/news/articleView.html?idxno=123533,"59%) ▶대창솔루션, 2026년1분기 별도기준 매출액 145.37억원(전년동기대비 +107.79%), 영업이익 8.98억원... 2025년 기업가치 제고 계획 이행현황('25년까지 총 주식수의 약 5% 규모 자사주 매입 시행 등)...","우리기술·두산에너빌리티·오르비텍·대창솔루션, 원전해체주 혼조…수...",https://www.cbci.co.kr/news/articleView.html?idxno=571079,"반면 오르비텍은 1만1930원으로 0.75% 하락하며 약세를 보였고, 대창솔루션 역시 3055원으로 2.08% 밀리며 하락... [※ 본 기사는 AI의 도움을 받아 작성되었으며, 제공되는 정보는 일반적인 주식 및 금융시장 관련 소식..."
대한해운,005880,STOP_WATCH,1937.0,2519.0,-23.1,naver_finance,2026-06-10 02:58:44 KST,fallback_rule,중립,낮음,대한해운 관련 뉴스 5건을 기준으로 점검했습니다. Gemini API가 없거나 호출에 실패해 규칙 기반 요약으로 표시합니다. 주요 기사: HMM · 팬오션 등 해운주 '장중 급락'...해상운임은? / [그래픽 뉴스] 매출 500대 기업 외,AI 해석 실패로 긍정 포인트는 기사 제목과 기존 리포트를 함께 확인해야 합니다.,AI 해석 실패 상태이므로 손절가와 현재가 매칭 상태를 우선 확인하세요.,현재 손익률은 -23.1이고 현재 판단은 STOP_WATCH입니다.,"자동 해석이 불완전하므로 신규 매수/추가매수보다 보유 기준, 목표가, 손절가를 먼저 확인하세요.","1. AI 브리핑은 fallback 상태입니다.
2. 뉴스 링크와 현재가를 직접 확인하세요.
3. 손절가 아래 물타기는 피하는 기준이 좋습니다.",투자 판단 보조용이며 매수·매도 확정 지시가 아닙니다.,"RuntimeError(""all Gemini models failed: <HTTPError 429: 'Too Many Requests'>"")",HMM · 팬오션 등 해운주 '장중 급락'...해상운임은?,http://www.choicenews.co.kr/news/articleView.html?idxno=166259,"같은 시각 팬오션(-5.86%), 대한해운(-5.22%), KSS해운(-4.35%), 흥아해운(-3.33%) 등도 급락세로 움직이는 중이다.... 특정 섹터 및 특정 기업에 대한 분석 내용과 이슈, 특정 테마는 지켜봐야 하는 경우가 많은 데다, 주식투자...",[그래픽 뉴스] 매출 500대 기업 외,https://www.yonhapmidas.com/news/articleView.html?idxno=10367,"호반건설, 대한해운, 신세계푸드, 서희건설, 진에어, 유진기업 등은 500대 기업에서 제외됐다. 부동산 쏠림에 주식 자산효과 낮아 한국은행은 최근 발표한 '우리나라의 주식 자산효과에 대한 평가' 보고서에서...",우방의 이상한 자금조달…유일한 통로 계열사 주식 담보,http://www.wikileaks-kr.org/news/articleView.html?idxno=188163,"에스엠상선이 교보증권 등에 1094억원어치 대한해운 주식을 내준 것을 비롯해 에스엠스틸 227억원, 삼라 180억원, 동아건설산업 117억원 순이다. 에스엠상선을 뺀 나머지가 맡긴 담보에는 에스엠하이플러스 등 그룹내...",[HMM50년 돌아보기-55] 한진해운 자산 인수,http://www.thebigdata.co.kr/view.php?ud=202605270120529555570d99e4c8_23,"이 입찰에서는 현대상선이 유력한 후보로 예상되었지만, 더 높은 금액을 제시한 SM그룹의 대한해운이... 관련해 2017년 10월 현대상선은 100% 지분을 투자하여 특수목적법인 ‘에이치티알헤라시스주식회사(HT Algeciras Co....","""실적·성장 다 잡는다""… 주성코퍼레이션, 물류 훈풍 타고 매수 훈풍",https://www.pinpointnews.co.kr/news/articleView.html?idxno=454668,"주성코퍼레이션은 사업 영역 확장 계획이 구체화되면서 성장 잠재력이 부각됐고, 이는 곧바로 주식 시장 내... 대한해운은 3.05% 오른 2530원에 거래중이다. 벌크선 운임 회복 기대와 장기 운송 계약 안정성이 부각되며..."
에코플라스틱,038110,STOP_WATCH,2270.0,3750.0,-39.47,naver_finance,2026-06-10 02:58:44 KST,fallback_rule,중립,낮음,"에코플라스틱 관련 뉴스 5건을 기준으로 점검했습니다. Gemini API가 없거나 호출에 실패해 규칙 기반 요약으로 표시합니다. 주요 기사: ""매점매석은 망하는 길"" 이재명 대통령 경고에 '나프타 관련주' 주목 [뉴... / 에코플라스틱, 자회사 ECOPLASTIC AMERICA 채무보증 결정",AI 해석 실패로 긍정 포인트는 기사 제목과 기존 리포트를 함께 확인해야 합니다.,AI 해석 실패 상태이므로 손절가와 현재가 매칭 상태를 우선 확인하세요.,현재 손익률은 -39.47이고 현재 판단은 STOP_WATCH입니다.,"자동 해석이 불완전하므로 신규 매수/추가매수보다 보유 기준, 목표가, 손절가를 먼저 확인하세요.","1. AI 브리핑은 fallback 상태입니다.
2. 뉴스 링크와 현재가를 직접 확인하세요.
3. 손절가 아래 물타기는 피하는 기준이 좋습니다.",투자 판단 보조용이며 매수·매도 확정 지시가 아닙니다.,"RuntimeError(""all Gemini models failed: <HTTPError 429: 'Too Many Requests'>"")","""매점매석은 망하는 길"" 이재명 대통령 경고에 '나프타 관련주' 주목 [뉴...",http://www.newswell.co.kr/news/articleView.html?idxno=18565,"주식시장 7천피 열풍 속에 '나프타 관련주'가 주목받는 이유다. 이재명 대통령은 8일 'X'(옛 트위터)에 올린... 공급하는 ▲에코플라스틱(038110), 썩는 플라스틱인 PBAT(생분해성 폴리에스터)를 만드는 ▲SKC(011790) 등도...","에코플라스틱, 자회사 ECOPLASTIC AMERICA 채무보증 결정",https://www.digitaltoday.co.kr/news/articleView.html?idxno=661945,"ECOPLASTIC AMERICA Corp.는 2022년 12월 8일 설립된 주식회사로, 이번 공시는 2025년 5월 7일에 있었던 채무보증 결정 공시에 대한 연장계약에 따른 것이다. 에코플라스틱은 1984년 6월 1일 코스닥 시장에 상장된...",[주식마감] 트럼프 '휴전 연장' 선언에 중동 재건 기대감↑… 대원전선...,https://www.ggilbo.com/news/articleView.html?idxno=1154680,"기존 최대주주였던 임국강의 소유 주식 수는 2109만 주(증자 전 지분율 8.40%)였다. 지분 인수 목적은... 덕산하이메탈, 에코플라스틱, 노브랜드다. 이날 코스피는 전장보다 57.88포인트(0.90%) 오른 6,475.81에 장을...",[주식마감] '스페이스X' 상장 기대에 미래에셋벤투·아주IB 상한가... '광...,https://www.ggilbo.com/news/articleView.html?idxno=1152732,"주식마감 14일 성신양회, 주성코퍼레이션, 미래에셋벤처투자, 아주IB투자, 빛과전자, 퀄리타스반도체... 세림B&G, 에코플라스틱, 아주IB투자, 파워넷, 카티스, 위지트, 한국첨단소재, 애머릿지, 대신정보통신...","[자동차 밸류체인] [세코그룹] 지배력 키운 서진캠, 경영 승계 속도낼까",https://www.topdaily.kr/articles/109658,"서진오토모티브·에코플라스틱 자기주식 전량 그룹 내부서 소화 서진캠, 자회사 에스제이홀딩스 흡수 합병…지배구조 재편 움직임 세코(SECO)그룹의 경영승계 무게추는 ‘오너 3세’ 배기욱 서진캠 전무에 실려..."
태림포장,011280,STOP_WATCH,1797.0,2100.0,-14.43,naver_finance,2026-06-10 02:58:45 KST,fallback_rule,중립,낮음,태림포장 관련 뉴스 0건을 기준으로 점검했습니다. Gemini API가 없거나 호출에 실패해 규칙 기반 요약으로 표시합니다.,AI 해석 실패로 긍정 포인트는 기사 제목과 기존 리포트를 함께 확인해야 합니다.,AI 해석 실패 상태이므로 손절가와 현재가 매칭 상태를 우선 확인하세요.,현재 손익률은 -14.43이고 현재 판단은 STOP_WATCH입니다.,"자동 해석이 불완전하므로 신규 매수/추가매수보다 보유 기준, 목표가, 손절가를 먼저 확인하세요.","1. AI 브리핑은 fallback 상태입니다.
2. 뉴스 링크와 현재가를 직접 확인하세요.
3. 손절가 아래 물타기는 피하는 기준이 좋습니다.",투자 판단 보조용이며 매수·매도 확정 지시가 아닙니다.,"RuntimeError(""all Gemini models failed: <HTTPError 429: 'Too Many Requests'>"")",,,,,,,,,,,,,,,
태웅,044490,STOP_WATCH,30900.0,40500.0,-23.7,naver_finance,2026-06-10 02:58:46 KST,fallback_rule,중립,낮음,태웅 관련 뉴스 1건을 기준으로 점검했습니다. Gemini API가 없거나 호출에 실패해 규칙 기반 요약으로 표시합니다. 주요 기사: 쌍끌이 호재 터진 강원에너지 주가 휘파람…에너지 인프라 장비 수주 릴...,AI 해석 실패로 긍정 포인트는 기사 제목과 기존 리포트를 함께 확인해야 합니다.,AI 해석 실패 상태이므로 손절가와 현재가 매칭 상태를 우선 확인하세요.,현재 손익률은 -23.7이고 현재 판단은 STOP_WATCH입니다.,"자동 해석이 불완전하므로 신규 매수/추가매수보다 보유 기준, 목표가, 손절가를 먼저 확인하세요.","1. AI 브리핑은 fallback 상태입니다.
2. 뉴스 링크와 현재가를 직접 확인하세요.
3. 손절가 아래 물타기는 피하는 기준이 좋습니다.",투자 판단 보조용이며 매수·매도 확정 지시가 아닙니다.,"RuntimeError(""all Gemini models failed: <HTTPError 429: 'Too Many Requests'>"")",쌍끌이 호재 터진 강원에너지 주가 휘파람…에너지 인프라 장비 수주 릴...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=455885,"시장에서는 실적 개선 기대는 여전히 유효하지만 단기 과열 해소 과정이 진행되고 있다는 분석이 나온다. LS... 대창솔루션과 티플랙스, 에이프로젠, 대우건설, SNT에너지, 태웅, 디케이락, 비에이치아이도 일제히 밀리고...",,,,,,,,,,,,
HANARO K휴머노이드테마TOP10,0155N0,STOP_WATCH,9920.0,11000.0,-9.82,naver_finance,2026-06-10 02:58:47 KST,fallback_rule,중립,낮음,HANARO K휴머노이드테마TOP10 관련 뉴스 0건을 기준으로 점검했습니다. Gemini API가 없거나 호출에 실패해 규칙 기반 요약으로 표시합니다.,AI 해석 실패로 긍정 포인트는 기사 제목과 기존 리포트를 함께 확인해야 합니다.,AI 해석 실패 상태이므로 손절가와 현재가 매칭 상태를 우선 확인하세요.,현재 손익률은 -9.82이고 현재 판단은 STOP_WATCH입니다.,"자동 해석이 불완전하므로 신규 매수/추가매수보다 보유 기준, 목표가, 손절가를 먼저 확인하세요.","1. AI 브리핑은 fallback 상태입니다.
2. 뉴스 링크와 현재가를 직접 확인하세요.
3. 손절가 아래 물타기는 피하는 기준이 좋습니다.",투자 판단 보조용이며 매수·매도 확정 지시가 아닙니다.,"RuntimeError(""all Gemini models failed: <HTTPError 429: 'Too Many Requests'>"")",,,,,,,,,,,,,,,
LG유플러스,032640,HOLD,14920.0,15400.0,-3.12,naver_finance,2026-06-10 02:58:48 KST,fallback_rule,중립,낮음,LG유플러스 관련 뉴스 0건을 기준으로 점검했습니다. Gemini API가 없거나 호출에 실패해 규칙 기반 요약으로 표시합니다.,AI 해석 실패로 긍정 포인트는 기사 제목과 기존 리포트를 함께 확인해야 합니다.,AI 해석 실패 상태이므로 손절가와 현재가 매칭 상태를 우선 확인하세요.,현재 손익률은 -3.12이고 현재 판단은 HOLD입니다.,"자동 해석이 불완전하므로 신규 매수/추가매수보다 보유 기준, 목표가, 손절가를 먼저 확인하세요.","1. AI 브리핑은 fallback 상태입니다.
2. 뉴스 링크와 현재가를 직접 확인하세요.
3. 손절가 아래 물타기는 피하는 기준이 좋습니다.",투자 판단 보조용이며 매수·매도 확정 지시가 아닙니다.,"RuntimeError(""all Gemini models failed: <HTTPError 429: 'Too Many Requests'>"")",,,,,,,,,,,,,,,
TIGER K방산&우주,463250,STOP_WATCH,36945.0,44500.0,-16.98,naver_finance,2026-06-10 02:58:49 KST,fallback_rule,중립,낮음,TIGER K방산&우주 관련 뉴스 0건을 기준으로 점검했습니다. Gemini API가 없거나 호출에 실패해 규칙 기반 요약으로 표시합니다.,AI 해석 실패로 긍정 포인트는 기사 제목과 기존 리포트를 함께 확인해야 합니다.,AI 해석 실패 상태이므로 손절가와 현재가 매칭 상태를 우선 확인하세요.,현재 손익률은 -16.98이고 현재 판단은 STOP_WATCH입니다.,"자동 해석이 불완전하므로 신규 매수/추가매수보다 보유 기준, 목표가, 손절가를 먼저 확인하세요.","1. AI 브리핑은 fallback 상태입니다.
2. 뉴스 링크와 현재가를 직접 확인하세요.
3. 손절가 아래 물타기는 피하는 기준이 좋습니다.",투자 판단 보조용이며 매수·매도 확정 지시가 아닙니다.,"RuntimeError(""all Gemini models failed: <HTTPError 429: 'Too Many Requests'>"")",,,,,,,,,,,,,,,
컴퍼니케이,307930,STOP_WATCH,7770.0,9150.0,-15.08,naver_finance,2026-06-10 02:58:49 KST,fallback_rule,중립,낮음,컴퍼니케이 관련 뉴스 0건을 기준으로 점검했습니다. Gemini API가 없거나 호출에 실패해 규칙 기반 요약으로 표시합니다.,AI 해석 실패로 긍정 포인트는 기사 제목과 기존 리포트를 함께 확인해야 합니다.,AI 해석 실패 상태이므로 손절가와 현재가 매칭 상태를 우선 확인하세요.,현재 손익률은 -15.08이고 현재 판단은 STOP_WATCH입니다.,"자동 해석이 불완전하므로 신규 매수/추가매수보다 보유 기준, 목표가, 손절가를 먼저 확인하세요.","1. AI 브리핑은 fallback 상태입니다.
2. 뉴스 링크와 현재가를 직접 확인하세요.
3. 손절가 아래 물타기는 피하는 기준이 좋습니다.",투자 판단 보조용이며 매수·매도 확정 지시가 아닙니다.,"RuntimeError(""all Gemini models failed: <HTTPError 429: 'Too Many Requests'>"")",,,,,,,,,,,,,,,
