rank,stock_name,stock_code,score,sector,signal,memo
1,ACE 미국우주테크액티브,,99,금융,618750,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인. 오늘 TOP5권이라 우선순위 높음.
2,KODEX 200타겟위클리커버드콜,,86,AI/소프트웨어,537500,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
3,LG헬로비전,,98,미디어/콘텐츠,612500,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
4,TIGER LG그룹플러스,,90,AI/소프트웨어,562500,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
5,코칩,,85,반도체/전자부품,531250,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인. 오늘 TOP5권이라 우선순위 높음.
6,라이콤,,80,반도체/전자부품,500000,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
7,아바텍,,75,반도체/전자부품,468750,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
8,TIGER 배당커버드콜액티브,,67,AI/소프트웨어,418750,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
9,SK네트웍스,,71,도매,443750,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
10,미래에셋생명,,77,보험,481250,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
11,후성,,69,화학,431250,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
12,TIGER 미국배당다우존스,,60,AI/소프트웨어,375000,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
13,KODEX 미국S&P500,,58,AI/소프트웨어,362500,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
14,TIGER 미국S&P500,,57,AI/소프트웨어,356250,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
15,SOL AI반도체소부장,,54,반도체,337500,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
