stock_name,stock_code,decision,risk_level,entry_guide,profit_guide,stop_guide,action_today
금호타이어,73240,HOLD,NORMAL,신규 매수보다는 보유 대응 우선,"1차 익절: 5,254원 부근 / 강한 추세면 일부만 익절","손절/경고: 4,622원 이탈 시 재검토",특별한 매도 신호는 약하지만 신규 모멘텀도 강하지 않습니다. 보유/관망 우선입니다.
대창솔루션,96350,HOLD,NORMAL,신규 매수보다는 보유 대응 우선,"1차 익절: 3,024원 부근 / 강한 추세면 일부만 익절","손절/경고: 2,660원 이탈 시 재검토",특별한 매도 신호는 약하지만 신규 모멘텀도 강하지 않습니다. 보유/관망 우선입니다.
대한해운,5880,HOLD,NORMAL,신규 매수보다는 보유 대응 우선,"1차 익절: 2,721원 부근 / 강한 추세면 일부만 익절","손절/경고: 2,393원 이탈 시 재검토",특별한 매도 신호는 약하지만 신규 모멘텀도 강하지 않습니다. 보유/관망 우선입니다.
에코플라스틱,38110,HOLD,NORMAL,신규 매수보다는 보유 대응 우선,"1차 익절: 4,050원 부근 / 강한 추세면 일부만 익절","손절/경고: 3,562원 이탈 시 재검토",특별한 매도 신호는 약하지만 신규 모멘텀도 강하지 않습니다. 보유/관망 우선입니다.
태림포장,11280,HOLD,NORMAL,신규 매수보다는 보유 대응 우선,"1차 익절: 2,268원 부근 / 강한 추세면 일부만 익절","손절/경고: 1,995원 이탈 시 재검토",특별한 매도 신호는 약하지만 신규 모멘텀도 강하지 않습니다. 보유/관망 우선입니다.
태웅,44490,HOLD,NORMAL,신규 매수보다는 보유 대응 우선,"1차 익절: 43,740원 부근 / 강한 추세면 일부만 익절","손절/경고: 38,475원 이탈 시 재검토",특별한 매도 신호는 약하지만 신규 모멘텀도 강하지 않습니다. 보유/관망 우선입니다.
HANARO K휴머노이드테마TOP10,0155N0,HOLD,NORMAL,신규 매수보다는 보유 대응 우선,"1차 익절: 11,880원 부근 / 강한 추세면 일부만 익절","손절/경고: 10,450원 이탈 시 재검토",특별한 매도 신호는 약하지만 신규 모멘텀도 강하지 않습니다. 보유/관망 우선입니다.
LG유플러스,32640,HOLD,NORMAL,신규 매수보다는 보유 대응 우선,"1차 익절: 16,632원 부근 / 강한 추세면 일부만 익절","손절/경고: 14,630원 이탈 시 재검토",특별한 매도 신호는 약하지만 신규 모멘텀도 강하지 않습니다. 보유/관망 우선입니다.
TIGER K방산&우주,463250,HOLD,NORMAL,신규 매수보다는 보유 대응 우선,"1차 익절: 48,060원 부근 / 강한 추세면 일부만 익절","손절/경고: 42,275원 이탈 시 재검토",특별한 매도 신호는 약하지만 신규 모멘텀도 강하지 않습니다. 보유/관망 우선입니다.
컴퍼니케이,307930,HOLD,NORMAL,신규 매수보다는 보유 대응 우선,"1차 익절: 9,882원 부근 / 강한 추세면 일부만 익절","손절/경고: 8,692원 이탈 시 재검토",특별한 매도 신호는 약하지만 신규 모멘텀도 강하지 않습니다. 보유/관망 우선입니다.
